226,F
147,H
113,G
266,D
185,R
205,F
267,V
243,O
238,P
200,Y
285,O
130,Q
116,G
266,B
279,K
260,B
165,W
230,Q
299,B
73,N
295,V
141,U
48,T
143,P
252,P
195,P
37,X
278,U
263,K
122,O
151,A
10,U
192,R
46,T
118,S
11,W
120,I
55,A
132,O
51,U
146,V
166,I
213,X
39,Q
86,E
244,Y
219,X
265,Z
229,K
240,W
119,T
91,E
130,W
181,Q
1,Y
298,F
178,I
1,S
236,V
268,I
156,R
190,E
55,H
70,S
298,V
57,C
129,Y
145,X
70,U
201,H
153,R
293,Q
113,X
260,C
102,Z
269,X
147,V
78,S
128,P
44,D
92,E
55,E
68,S
7,D
191,C
237,N
183,O
55,V
115,F
175,A
87,S
111,Z
261,Y
70,V
269,S
36,O
126,Z
191,E
37,J
2,X
7,L
171,C
108,U
241,F
239,G
186,V
204,N
261,L
159,F
192,M
294,V
141,O
190,L
114,E
7,Z
29,T
276,H
189,T
71,U
19,K
131,Q
85,I
72,G
52,K
24,K
175,Y
7,G
36,H
150,Z
130,X
170,E
125,T
7,E
178,C
208,Z
56,O
141,V
260,R
155,Y
24,R
250,R
54,M
289,T
268,R
79,Z
117,R
266,M
293,J
200,Z
261,A
19,H
232,B
282,U
99,C
286,A
4,Z
183,J
75,K
239,G
206,G
245,N
73,S
128,R
287,O
191,U
200,A
193,X
25,Z
209,Q
30,A
228,M
261,G
148,U
297,X
153,M
161,A
288,L
212,J
103,R
179,Y
47,J
258,L
273,I
212,W
288,A
29,X
21,F
138,F
1,I
175,M
284,F
198,W
143,V
241,O
87,U
194,A
117,A
142,Z
43,C
175,C
85,M
212,H
17,C
271,W
185,A
183,Q
159,T
141,C
203,G
175,G
0,A
239,Z
265,P
14,F
55,M
286,Y
153,B
7,O
137,F
86,D
266,A
296,G
170,H
296,B
132,Y
100,N
59,N
187,S
235,T
177,B
226,R
96,O
236,W
38,J
224,F
16,E
102,O
246,B
121,M
238,E
258,S
123,S
91,L
86,Q
279,T
115,R
107,P
146,K
214,X
254,W
26,D
216,W
262,W
113,F
109,D
253,U
184,I
247,Y
17,E
127,H
16,N
280,R
42,R
131,T
162,E
21,Q
120,R
239,N
174,J
292,H
189,F
86,M
267,E
10,D
91,J
142,A
219,P
172,Q
204,I
168,B
81,B
92,K
4,W
160,A
105,N
265,G
289,G
176,M
116,P
195,A
135,B
56,F
272,Z
58,U
148,S
256,D
99,E
271,P
249,F
157,E
296,E
15,A
69,Y
111,R
56,U
130,D
181,K
165,I
107,H
160,V
162,O
140,B
16,U
23,L
56,W
202,O
71,T
26,P
214,C
244,X
114,G
191,G
287,Z
24,D
111,G
253,A
122,X
68,F
235,H
38,F
123,C
52,N
234,G
214,A
255,U
11,Z
176,C
226,D
279,G
62,B
61,U
285,W
297,R
3,H
254,U
66,P
288,Y
190,L
213,T
83,J
69,C
275,P
256,L
83,Q
160,E
10,M
289,V
237,X
218,H
129,K
111,L
61,N
94,N
289,R
79,D
33,V
122,E
17,G
244,G
269,E
150,G
141,W
11,W
27,H
38,Q
55,W
91,S
24,E
62,M
253,F
17,M
281,Z
296,H
252,L
8,G
102,H
282,P
182,B
135,Z
52,W
199,F
77,O
45,M
120,D
178,N
289,J
75,Q
121,S
22,E
41,E
238,Y
250,C
291,P
202,P
212,P
188,N
111,A
218,X
243,J
96,A
225,W
173,C
145,C
126,G
181,O
275,N
180,Y
207,O
153,D
296,J
227,W
179,V
221,Y
246,K
11,X
67,E
199,M
167,E
3,Y
224,I
172,H
271,E
267,O
274,A
172,A
13,V
100,Q
21,Y
145,E
62,V
254,C
95,U
253,U
244,I
112,C
59,H
95,C
17,F
147,A
147,X
57,U
24,W
191,X
295,U
96,U
110,L
100,W
14,V
290,B
226,R
181,M
36,G
154,U
140,Z
244,N
182,N
51,G
182,D
135,V
91,Q
69,L
9,Y
132,Y
162,A
218,M
61,F
150,H
141,E
266,B
32,E
277,O
123,L
115,Z
31,B
205,P
30,S
140,C
120,A
3,D
174,G
61,D
24,E
170,I
263,J
294,O
242,I
215,M
178,A
183,M
294,F
9,U
185,T
90,D
22,R
34,P
153,X
100,U
152,L
71,G
179,Y
294,G
258,V
274,B
132,S
209,D
23,X
279,K
38,W
66,Z
20,R
270,M
177,Y
130,W
200,O
3,H
287,M
278,D
35,M
166,L
7,S
56,M
19,W
235,P
242,T
68,D
29,I
66,A
117,G
183,F
245,P
247,G
104,M
143,S
193,H
187,E
100,I
181,C
162,M
124,X
226,B
160,B
70,L
201,R
293,A
108,L
102,E
167,Q
123,R
160,W
125,T
288,T
19,P
234,D
223,F
227,E
192,L
219,G
255,G
58,M
213,D
100,C
276,P
102,L
226,O
237,T
263,R
22,C
53,J
125,R
279,M
104,L
162,M
148,Z
279,D
126,X
216,Z
107,X
95,O
250,T
199,Z
251,U
198,O
293,H
280,L
70,E
49,I
151,U
166,X
75,T
106,L
33,C
20,R
133,X
230,C
169,V
20,X
177,S
35,Z
33,V
226,M
151,R
210,N
244,M
278,O
193,I
53,X
198,G
216,Y
55,R
269,V
104,S
287,N
3,U
177,O
5,E
245,U
114,T
105,K
142,J
252,I
148,C
275,Z
247,J
176,H
48,V
17,K
154,U
19,M
53,U
5,C
206,Q
51,U
214,B
143,B
46,B
90,D
286,I
205,E
174,C
296,H
124,K
166,K
21,Z
55,P
24,K
126,X
113,M
194,J
256,Z
211,G
32,R
79,V
115,A
119,E
52,D
56,Y
72,V
3,Y
211,T
269,U
243,O
85,N
271,U
156,S
194,M
30,M
275,N
138,X
33,K
132,M
280,O
68,T
171,Y
256,K
209,K
184,G
182,H
37,R
27,A
199,K
10,D
123,V
133,T
57,K
14,C
117,U
0,K
45,S
45,O
251,E
195,A
103,H
54,Z
219,H
15,P
261,D
207,U
203,L
108,F
279,C
198,G
293,B
42,I
89,P
194,M
157,W
100,F
288,H
206,Q
155,M
