86,B
99,C
188,Y
103,I
36,T
67,D
239,O
121,Y
211,S
256,E
262,M
30,T
223,I
52,X
113,L
209,V
54,X
96,T
69,S
202,K
61,U
291,V
162,A
226,Z
243,Q
256,O
117,H
170,F
19,F
106,E
39,U
199,S
285,C
247,H
200,P
203,I
173,E
54,F
176,J
206,O
211,K
275,G
22,S
141,X
288,P
158,J
235,Q
143,N
215,C
143,C
50,K
2,Z
97,Q
151,R
279,G
2,Q
287,Y
293,A
143,X
189,A
79,N
178,I
125,E
36,I
71,Z
37,A
112,D
196,X
220,U
280,E
258,W
177,S
284,S
164,V
182,L
198,Q
216,X
196,L
102,H
82,Q
130,X
29,M
124,B
84,Q
231,E
55,X
157,J
11,A
181,I
34,F
129,K
222,O
290,X
93,I
288,C
229,X
59,J
63,Q
32,X
270,N
54,M
12,R
140,C
196,J
279,M
200,G
298,F
67,F
18,A
76,T
225,A
125,E
107,J
75,Z
239,T
83,G
120,K
253,G
67,I
61,K
90,T
70,R
139,G
36,S
219,M
120,P
155,L
51,M
173,L
128,D
200,G
125,L
197,H
32,C
142,G
169,P
245,R
276,S
50,Z
50,T
234,I
116,X
104,Y
274,R
138,V
127,K
241,K
250,O
226,Z
186,L
109,H
20,H
0,S
125,H
49,T
288,R
74,K
61,H
126,M
171,J
173,D
184,T
116,N
170,M
131,Y
179,Q
252,B
123,T
260,T
135,D
50,Y
18,H
276,Q
47,T
71,I
20,S
251,N
246,W
175,L
287,C
7,W
239,H
135,V
52,H
177,S
252,Y
12,L
232,T
7,W
25,X
121,T
139,S
39,S
163,P
73,U
111,N
278,S
74,O
266,O
258,Y
90,N
68,S
267,Q
110,K
48,V
41,F
110,B
252,L
42,K
101,S
166,H
93,T
286,Y
211,A
185,X
22,B
92,A
269,S
190,U
73,K
271,U
37,C
104,J
265,F
87,D
177,F
117,K
58,H
140,X
191,P
180,H
254,C
274,N
13,M
95,E
92,K
99,X
278,W
209,T
204,U
299,Z
167,B
236,C
185,I
206,I
154,T
236,Q
113,I
201,E
122,O
177,C
224,R
148,E
235,S
156,P
268,A
18,Q
290,L
66,M
2,U
104,K
203,D
91,J
3,C
260,F
173,K
260,H
287,W
115,Z
202,S
205,H
153,E
207,X
112,R
175,P
273,A
242,M
12,F
54,S
96,G
256,U
13,T
64,I
95,K
192,A
169,C
207,N
168,S
158,M
139,D
79,U
195,V
210,G
35,P
161,X
229,D
272,I
293,D
269,M
160,J
114,I
169,Y
176,K
240,M
293,F
264,F
274,P
147,V
167,B
137,Q
37,G
141,M
57,O
184,Q
191,S
40,K
117,P
6,S
95,G
225,X
285,S
66,D
52,L
41,D
27,V
270,C
8,B
149,C
10,R
207,T
126,W
105,V
247,R
20,Z
52,W
220,M
160,L
263,W
221,L
81,S
42,G
257,B
